Plot,Ring,ecosys,Transect,EP,TerrType,alt,easting,northing,ACERUB,ACESAC,ACESIL,BETALL,CARCAR,CARCOR,CAROVA,CARTOM,CORFLO,CRAPUN,FAGAME,FRAAME,FRANIG,HAMVIR,LIRTUP,MAGACU,MALCOR,NYSSYL,OSTVIR,PLAOCC,POPDEL,POPGRA,PRUSER,QUEALB,QUEBIC,QUEPAL,QUERUB,SALNIG,SASALB,TILAME,TOXVER,ULMAME,ULMRUB,ULMSP,VIBLEN,Grand.Total,Ptot_full,Po_full,pH_full,moist_full,ps1_full,ps2_full,percc_full,pomc_full,cton_full,Ptot_long,Po_long,pH_long,moist_long,ps1_long,ps2_long,percc_long,cton_long,Ptot_nug,Po_nug,pH_nug,moist_nug,ps1_nug,ps2_nug,percc_nug,pomc_nug,cton_nug,Ptot_short,Po_short,pH_short,moist_short,ps1_short,percc_short,pomc_short,cton_short
1,1,B,Grid,Core,B,319.7,0,0,0.630501471,0,0,0,0,0,0,0,0,0,0,0,0.308928319,0,0,0,0,0,0,0,0,0,0,0,0,0.704678116,0,0,0,0,0.102273854,0,0,0,0.00950334,0.016007237,0.298793322,-0.30149414,0.974208242,2.760749098,1.16866076,0.768069433,1.321471925,0.139537632,0.294099136,0.910808089,0.773098445,0.40441137,1.509030836,1.036728788,0.271252281,0.203476467,-0.092628502,-0.730847189,-1.144228699,0.471515773,1.201931252,0.116014074,0.496817152,1.049338574,0.18136472,0.428418397,0.118832422,0.069636114,0.098281099,0.049787011,0.015917898,0.068656884,-0.041827088,-0.04169076
10,1,UD,Grid,Trans,T-UD,327,43.19,134,0.347395593,0.567101337,0,0,0.08392277,0,0.26333074,0,0,0,0.58330663,0,0,0,0,0,0,0,0.109233187,0,0,0,0,0,0,0,0.340239944,0,0,0.115691537,0,0,0,0,0,0.111727077,-0.374154451,-0.783834158,0.887531697,-0.732460219,0.231970287,-1.168173216,-0.428784928,0.732934422,-0.027875393,0.264713361,0.001876431,-0.237049985,0.025854552,0.813320964,-0.232837331,0.013591636,0.053222403,-0.623147198,-0.787701899,1.118520548,-0.753908793,-0.585625629,-0.935335885,-0.429551669,0.899363407,-0.068859052,-0.015720613,0.00199131,0.006061134,-0.004405978,0.004274952,-0.012824896,-0.166428984,-0.012238743
11,1,B,Grid,Edge,BUR,322,165.41,137,0.123834435,0.218353688,0,0,0,0,0.540930137,0,0,0,0.62494619,0,0,0,0,0,0,0,0.086408432,0,0,0,0,0,0,0,0.483866672,0,0,0,0,0,0,0.11059011,0,0.161008571,0.455061542,-0.432532538,1.277576146,0.759513619,0.005786348,-0.214275876,-0.213919637,-0.689423435,-0.625490155,-0.017619974,-0.424949758,0.0621446,0.295027781,-0.020378045,0.272284579,-0.088650944,-0.022402529,0.417307374,-0.011413332,1.240172726,0.452980568,0.01953658,-0.486560456,-0.124398658,-0.747045614,-0.568269413,0.055374142,0.003830552,-0.02474118,0.01150527,0.006627813,-0.000870035,0.057622179,-0.034818213
12,1,R,Grid,Edge,RU,316.7,289.59,146,0.311827065,0.237974239,0,0,0,0.211566387,0.191147111,0,0,0,0.031196116,0,0,0,0.12433505,0,0,0,0,0.247166088,0,0,0.306459777,0.17186224,0,0,0.719904617,0,0,0.197871445,0,0,0,0.080256592,0,0.011330966,0.725373493,-0.783834158,-1.134921001,0.566735399,0.52218915,1.003390776,-0.338479226,0.165925109,-0.584479402,-0.719559848,-0.663370482,1.429558768,-1.206412632,-1.723688406,0.602462559,-0.716909041,-0.126046826,1.433035265,-0.117163116,-2.625701498,1.787959655,2.253995494,0.400928217,0.416799317,0.177153845,-0.457817367,0.011898076,-0.00330056,0.061221729,-0.014811624,-0.008117937,-0.038369501,-0.011228736,-0.000615209
14,1,U,Grid,Core,U,332,53,228,0.393549303,0.487379872,0,0,0.067739006,0,0.480048853,0,0,0,0.455168513,0.402930305,0,0,0,0,0,0,0.054891953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293430152,0.296541075,0.56728497,-1.077136638,-0.380397544,-0.571121021,-3.589085848,0.044152262,2.185657448,-0.042713483,0.41479206,1.630099116,-0.673738717,0.02942463,0.335210443,-1.348181445,0.666789733,0.67541434,-0.130876008,-1.084169514,-0.401209661,-0.376565606,-0.878157459,-2.240904402,-0.566063095,2.237809919,-0.689917149,0.012625023,0.021355368,-0.002188259,-0.033256569,-0.028174004,-0.056574375,-0.052152471,-0.028210673
15,1,UR,Grid,Trans,T-UR,329.2,177.15,224,0.253187588,0.194379176,0,0,0,0,0,0,0,0,0.659570476,0,0,0,0,0,0,0,0.052004956,0,0,0,0,0,0,0,0.678509434,0,0,0,0,0,0,0,0,0.582090571,-0.347309914,-0.641469031,-0.557077373,-0.759918077,-1.036895407,-2.432841903,0.983798663,0.579154659,3.353764095,-0.453206338,-0.562306098,0.203270971,-0.362501873,-0.054735621,-0.808951301,-0.246835443,-0.115341693,0.122564038,-0.077921873,-0.754511245,-0.394677941,-0.982225527,-1.623890602,1.229838487,0.707207988,3.468404026,-0.016667615,-0.00124106,-0.005837098,-0.002738263,6.57E-05,0.00079562,-0.12805333,0.000701762
16,1,R,Grid,Edge,RU,317.6,288.53,238.5,0.371053186,0.233264731,0,0.096929256,0,0.228769006,0,0,0,0,0.172176966,0.318846234,0,0,0.405063239,0,0,0,0,0,0,0.564824921,0,0,0,0,0.334788545,0,0.140292343,0,0,0,0,0,0,0.341817076,0.731730854,0.320425146,-0.788214824,0.494048912,0.431443171,1.023063282,0.547061604,0.596630775,0.530425287,-0.898527467,-0.777310919,1.271762435,-0.904882998,0.066643016,1.033072877,-0.793253874,-0.191488838,1.636917679,1.098031125,-2.082592494,1.399247663,0.35915132,-0.010009595,1.345077239,0.614719567,0.714483142,-0.006659359,-0.000295061,0.022615236,-0.000315752,0.005648835,-0.004761762,-0.018088792,0.007430983
17,1,U,Grid,Core,U,334.3,-81.75,340,0.266107074,0.699893162,0,0,0,0,0,0,0,0,0.480378701,0,0,0,0,0,0,0,0,0,0,0,0.293839546,0,0,0,0.349615806,0,0,0,0,0,0,0,0,0.022469509,-0.110121234,-0.532432376,-1.438288905,-0.328101933,0.421621832,-1.985280397,0.980684674,-0.736618657,1.839110622,0.137942059,0.77343101,0.148433019,0.379107404,0.488704512,-0.593187576,0.08486151,-0.103423659,-0.228679209,-1.304584622,-1.589810359,-0.7053502,-0.067211144,-1.392092821,0.910717396,-0.825409678,1.953090096,-0.019384085,-0.001278764,0.003088435,-0.001859137,0.000128465,-0.014894232,0.088791021,-0.010555815
18,1,U,Grid,Core,U,333.6,53.87,320.5,0.61671846,0.185762339,0,0,0,0,0.144680283,0,0,0,0.592355309,0,0,0,0,0.164328222,0,0,0,0,0,0,0,0,0,0,0.43165928,0,0,0,0,0,0,0,0,0.223516201,3.051972029,3.029011136,0.670840337,2.247895417,0.018980788,-0.878406751,5.245488235,0.947886471,2.182595391,0.437426165,1.938339196,-0.671473118,-0.037117252,0.345786561,-0.634071045,0.474926532,0.599077599,2.611460299,1.089778406,1.346722295,2.285962158,-0.325250256,-0.244335706,4.767455342,1.047482686,1.580374698,0.003085565,0.000893533,-0.00440884,-0.000949489,-0.001555517,0.003106361,-0.099596214,0.003143095
19,1,R,Grid,Edge,RU,318.1,202.33,322.5,0,0.633946129,0,0,0,0,0.38296378,0,0,0,0.649761879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171057153,0,0,0,0.100345846,-1.11822679,-0.537987027,-1.048244456,-0.287169552,-0.439595982,1.340649795,-0.704373019,1.481927435,-1.016279893,-0.582546012,-0.107505533,0.107056959,-0.580298343,-0.705097797,0.907175034,-0.571548346,-0.490023828,-0.577170579,-0.448092397,-1.177534886,0.270100075,0.287711188,0.43347476,-0.097832741,1.734678338,-0.423112667,0.041489801,0.017610902,0.022233471,0.023028716,-0.022209372,-0.034991933,-0.252750903,-0.103143399
